Image type	Feature Class	Feature Name	Segmentation_segment_Segment_1
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.22.1
diagnostics	Versions	SimpleITK	2.2.0rc2.post15
diagnostics	Versions	PyWavelet	1.3.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [2.0, 2.0, 2.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	d4d0cc4232f91dc45e840c390cd49cd497f28169
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.5703125, 0.5703125, 5.0)
diagnostics	Image-original	Size	(512, 512, 48)
diagnostics	Image-original	Mean	-578.0959510008494
diagnostics	Image-original	Minimum	-1024.0
diagnostics	Image-original	Maximum	3071.0
diagnostics	Mask-original	Hash	b9c24f633551417538dfc95b6e0c4012543d73e6
diagnostics	Mask-original	Spacing	(0.5703125, 0.5703125, 5.0)
diagnostics	Mask-original	Size	(512, 512, 48)
diagnostics	Mask-original	BoundingBox	(205, 346, 32, 26, 30, 3)
diagnostics	Mask-original	VoxelNum	1250
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(217.5272, 359.0176, 33.2192)
diagnostics	Mask-original	CenterOfMass	(-21.94151875, -120.24777499999999, -611.4039999999998)
diagnostics	Image-interpolated	Spacing	(2.0, 2.0, 2.0)
diagnostics	Image-interpolated	Size	(19, 21, 20)
diagnostics	Image-interpolated	Mean	-706.8438596491228
diagnostics	Image-interpolated	Minimum	-1154.0
diagnostics	Image-interpolated	Maximum	940.0
diagnostics	Mask-interpolated	Spacing	(2.0, 2.0, 2.0)
diagnostics	Mask-interpolated	Size	(19, 21, 20)
diagnostics	Mask-interpolated	BoundingBox	(5, 6, 7, 8, 8, 7)
diagnostics	Mask-interpolated	VoxelNum	251
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(8.53784860557769, 9.01593625498008, 10.418326693227092)
diagnostics	Mask-interpolated	CenterOfMass	(-22.20945903884462, -120.25328374003985, -612.1633466135456)
diagnostics	Mask-interpolated	Mean	-226.12350597609563
diagnostics	Mask-interpolated	Minimum	-886.0
diagnostics	Mask-interpolated	Maximum	203.0
original	shape	Elongation	0.7929199157567601
original	shape	Flatness	0.6760852571803639
original	shape	LeastAxisLength	12.144221562536625
original	shape	MajorAxisLength	17.962559357061718
original	shape	Maximum2DDiameterColumn	20.0
original	shape	Maximum2DDiameterRow	18.439088914585774
original	shape	Maximum2DDiameterSlice	18.439088914585774
original	shape	Maximum3DDiameter	20.8806130178211
original	shape	MeshVolume	1934.6666666666667
original	shape	MinorAxisLength	14.24287105217718
original	shape	Sphericity	0.7988367047452559
original	shape	SurfaceArea	939.9329600568518
original	shape	SurfaceVolumeRatio	0.4858371606082969
original	shape	VoxelVolume	2008.0
original	firstorder	10Percentile	-593.0
original	firstorder	90Percentile	82.0
original	firstorder	Energy	30348581.0
original	firstorder	Entropy	5.131028234650767
original	firstorder	InterquartileRange	438.0
original	firstorder	Kurtosis	2.1878305534041202
original	firstorder	Maximum	203.0
original	firstorder	MeanAbsoluteDeviation	224.63681528864623
original	firstorder	Mean	-226.12350597609563
original	firstorder	Median	-198.0
original	firstorder	Minimum	-886.0
original	firstorder	Range	1089.0
original	firstorder	RobustMeanAbsoluteDeviation	174.23984554837753
original	firstorder	RootMeanSquared	347.7221322764779
original	firstorder	Skewness	-0.47008789310418453
original	firstorder	TotalEnergy	242788648.0
original	firstorder	Uniformity	0.03287249408739544
original	firstorder	Variance	69778.84131997905
original	glcm	Autocorrelation	933.0826155084931
original	glcm	ClusterProminence	181602.42050907525
original	glcm	ClusterShade	-2558.9276958621876
original	glcm	ClusterTendency	270.9176062168339
original	glcm	Contrast	118.5184442608251
original	glcm	Correlation	0.38761438226586187
original	glcm	DifferenceAverage	8.074147640437419
original	glcm	DifferenceEntropy	4.290525028975033
